,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,4809,48029,61,7,52,0,9,292
1,2228,92260,64,3,26,0,1,744
2,14947,22139,100,34,31,0,2,480
3,22332,49078,97,10,3,0,2,484
4,9025,23675,117,33,31,0,7,707
5,4745,50549,61,2,73,0,7,292
6,5035,37405,63,8,99,3,4,287
7,4956,87197,63,35,45,0,3,247
8,5989,66839,154,33,24,0,1,739
9,17114,70961,85,19,8,0,2,408
10,5154,82730,127,13,31,0,1,442
11,2420,31710,62,5,29,0,1,199
12,19955,69096,99,24,32,0,2,64
13,5454,66334,69,25,25,0,4,331
14,12836,37720,116,6,28,0,2,835
15,4626,79487,114,20,87,0,1,547
16,5326,76717,66,26,10,0,6,300
17,2497,10347,69,5,74,0,1,272
18,2736,17533,73,10,1,0,1,350
19,3746,41479,94,14,38,1,1,19
20,7247,89926,104,9,58,0,7,499
21,6274,13662,85,29,37,0,3,408
22,15031,59456,189,11,7,0,8,907
23,5107,70174,64,29,80,1,7,128
24,2502,18997,74,26,95,1,1,355
25,9521,27769,121,24,78,0,6,123
26,8869,81350,110,1,28,0,9,228
27,4376,63774,111,18,63,0,1,60
28,2926,92381,72,24,27,0,1,234
29,24706,26307,73,26,1,0,2,313
30,8491,50446,116,3,97,0,3,1193
31,9191,23823,115,5,39,0,6,567
32,5776,27510,159,5,28,3,1,871
33,9115,69588,114,19,45,0,6,173
34,4163,43276,104,16,11,0,1,499
35,5264,73430,72,30,26,0,8,135
36,3945,28855,101,12,59,0,1,647
37,5176,41533,65,2,46,0,9,232
38,4492,21137,61,29,62,1,6,292
39,8470,71268,82,1,13,0,2,479
40,2880,81565,71,19,54,0,1,190
41,6182,20072,82,35,51,0,9,473
42,9799,22166,126,10,22,0,6,604
43,5790,84551,72,10,82,0,5,28
44,5041,61972,64,2,52,2,5,138
45,5745,57740,74,30,87,3,9,269
46,4827,82108,68,29,91,0,6,326
47,7664,60184,199,7,44,1,1,161
48,3593,18213,96,12,43,1,1,460
49,9863,99654,121,13,95,0,3,272
50,5111,76448,63,9,13,0,3,302
51,2590,22398,67,14,76,0,1,321
52,2452,51085,62,4,58,1,1,406
53,2194,73465,62,11,48,0,1,623
54,4473,14895,125,2,84,0,1,600
55,19435,38688,249,22,6,0,3,2294
56,2457,52926,61,2,92,0,1,292
