song,artist,song_lower,song_lower_shorthand
The Sex Is Good,Saving Abel,the sex is good,the sex is good
Another Way to Die,Disturbed,another way to die,another way to die
Resistance,Muse,resistance,resistance
Waiting for the End,Linkin Park,waiting for the end,waiting for the end
Lay Me Down,The Dirty Heads,lay me down,lay me down
Kings And Queens,Thirty Seconds To Mars,kings and queens,kings and queens
Tighten Up,The Black Keys,tighten up,tighten up
Porn Star Dancing,My Darkest Days,porn star dancing,porn star dancing
1901,Phoenix,1901,1901
The Catalyst,Linkin Park,the catalyst,the catalyst
Say You'll Haunt Me,Stone Sour,say you'll haunt me,say youll haunt me
Back Against The Wall,Cage The Elephant,back against the wall,back against the wall
Radioactive,Kings of Leon,radioactive,radioactive
Cryin' Like A Bi**h!,Godsmack,cryin' like a bi**h!,cryin like a bi**h!
Your Decision,Alice in Chains,your decision,your decision
If You Only Knew,Shinedown,if you only knew,if you only knew
Snuff,Slipknot,snuff,snuff
Animal,Neon Trees,animal,animal
Bad Company,Five Finger Death Punch,bad company,bad company
Love-Hate-Sex-Pain,Godsmack,love-hate-sex-pain,love-hate-sex-pain
Mountain Man,Crash Kings,mountain man,mountain man
Kick In The Teeth,Papa Roach,kick in the teeth,kick in the teeth
The Animal,Disturbed,the animal,the animal
In One Ear,Cage the Elephant,in one ear,in one ear
World So Cold,Three Days Grace,world so cold,world so cold
My Best Theory,Jimmy Eat World,my best theory,my best theory
The Good Life,Three Days Grace,the good life,the good life
Scream With Me,Mudvayne,scream with me,scream with me
Nightmare,Avenged Sevenfold,nightmare,nightmare
Rock That Body,The Black Eyed Peas,rock that body,rock that body
This Is War,30 Seconds to Mars,this is war,this is war
Letter From A Thief,Chevelle,letter from a thief,letter from a thief
Heaven nor Hell,Volbeat,heaven nor hell,heaven nor hell
Lisztomania,Phoenix,lisztomania,lisztomania
Fallen,Volbeat,fallen,fallen
Monster,Skillet,monster,monster
Let Me Hear You Scream,Ozzy Osbourne,let me hear you scream,let me hear you scream
Undisclosed Desires,Muse,undisclosed desires,undisclosed desires
Between the Lines,Stone Temple Pilots,between the lines,between the lines
Feel Like I Do,Drowning Pool,feel like i do,feel like i do
Sick Of You,Cake,sick of you,sick of you
Lesson Learned,Alice In Chains,lesson learned,lesson learned
This Afternoon,Nickelback,this afternoon,this afternoon
Little Lion Man,Mumford & Sons,little lion man,little lion man
End Of Me,Apocalyptica Feat. Gavin Rossdale,end of me,end of me
The Crow & the Butterfly,Shinedown,the crow & the butterfly,the crow & the butterfly
Impossible,Anberlin,impossible,impossible
Set the Fire to the Third Bar,Snow Patrol & Martha Wainwright,set the fire to the third bar,set the fire to the third bar
Your Betrayal,Bullet For My Valentine,your betrayal,your betrayal
Again,Flyleaf,again,again
All or Nothing,Theory of a Deadman,all or nothing,all or nothing
The Royal We,Silversun Pickups,the royal we,the royal we
Broken Strings,James Morrison,broken strings,broken strings
Hell Of A Time,HellYeah,hell of a time,hell of a time
Maybe,Sick Puppies,maybe,maybe
She's So Lovely,Scouting for Girls,she's so lovely,shes so lovely
Crash,Cavo,crash,crash
This Is the Life,Amy Macdonald,this is the life,this is the life
Odd One,Sick Puppies,odd one,odd one
I Kissed a Girl,Katy Perry,i kissed a girl,i kissed a girl
Shoot It Out,10 Years,shoot it out,shoot it out
Just Breathe,Pearl Jam,just breathe,just breathe
Don't Look Back into the Sun,The Libertines,don't look back into the sun,dont look back into the sun
Give Me A Sign (Forever And Ever),Breaking Benjamin,give me a sign (forever and ever),give me a sign
A-Punk,Vampire Weekend,a-punk,a-punk
Crossfire,Brandon Flowers,crossfire,crossfire
Heartbeat,Scouting for Girls,heartbeat,heartbeat
Spaceship,Puddle Of Mudd,spaceship,spaceship
Stoned,Puddle Of Mudd,stoned,stoned
Can't Stand Me Now,The Libertines,can't stand me now,cant stand me now
Walk Away,Five Finger Death Punch,walk away,walk away
Waking Up in Vegas,Katy Perry,waking up in vegas,waking up in vegas
The Sound (John M. Perkins' Blues),Switchfoot,the sound (john m. perkins' blues),the sound
Closer,Kings of Leon,closer,closer
Letters From The Sky,Civil Twilight,letters from the sky,letters from the sky
Unraveling,Sevendust,unraveling,unraveling
Turn So Cold,Drowning Pool,turn so cold,turn so cold
It's Not You,Halestorm,it's not you,its not you
Sweet Disposition,The Temper Trap,sweet disposition,sweet disposition
Brick By Boring Brick,Paramore,brick by boring brick,brick by boring brick
Lights Out,Breaking Benjamin,lights out,lights out
The High Road,Broken Bells,the high road,the high road
Diamond Eyes,Deftones,diamond eyes,diamond eyes
Living In A Dream,Finger Eleven,living in a dream,living in a dream
New Fang,Them Crooked Vultures,new fang,new fang
Oildale (Leave Me Alone),Korn,oildale (leave me alone),oildale
Black Rain,Soundgarden,black rain,black rain
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,na na na (na na na na na na na na na),na na na
Shakin' Hands,Nickelback,shakin' hands,shakin hands
Life Won't Wait,Ozzy Osbourne,life won't wait,life wont wait
Mess Of Me,Switchfoot,mess of me,mess of me
Born Free,Kid Rock,born free,born free
Neutron Star Collision (Love Is Forever),Muse,neutron star collision (love is forever),neutron star collision
Hero,Skillet,hero,hero
You And Your Heart,Jack Johnson,you and your heart,you and your heart
Little Smirk,Theory Of A Deadman,little smirk,little smirk
Gold Guns Girls,Metric,gold guns girls,gold guns girls
Sound Off,Trapt,sound off,sound off
I Was A Teenage Anarchist,Against Me!,i was a teenage anarchist,i was a teenage anarchist
Ready To Start,Arcade Fire,ready to start,ready to start
Rope,Foo Fighters,rope,rope
Face To The Floor,Chevelle,face to the floor,face to the floor
Lonely Boy,The Black Keys,lonely boy,lonely boy
Country Song,Seether,country song,country song
Walk,Foo Fighters,walk,walk
Not Again,Staind,not again,not again
Isolation,Alter Bridge,isolation,isolation
Shake Me Down,Cage The Elephant,shake me down,shake me down
The Sound Of Winter,Bush,the sound of winter,the sound of winter
Pumped Up Kicks,Foster The People,pumped up kicks,pumped up kicks
Waiting For The End,Linkin Park,waiting for the end,waiting for the end
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,the adventures of rain dance maggie,the adventures of rain dance maggie
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,diamond eyes (boom-lay boom-lay boom),diamond eyes
So Far Away,Avenged Sevenfold,so far away,so far away
Lowlife,Theory Of A Deadman,lowlife,lowlife
Lies Of The Beautiful People,Sixx: A.M.,lies of the beautiful people,lies of the beautiful people
Tonight,Seether,tonight,tonight
Paradise,Coldplay,paradise,paradise
The Sex Is Good,Saving Abel,the sex is good,the sex is good
You Are A Tourist,Death Cab For Cutie,you are a tourist,you are a tourist
Help Is On The Way,Rise Against,help is on the way,help is on the way
Buried Alive,Avenged Sevenfold,buried alive,buried alive
Bottoms Up,Nickelback,bottoms up,bottoms up
The Animal,Disturbed,the animal,the animal
Welcome To The Family,Avenged Sevenfold,welcome to the family,welcome to the family
Awake And Alive,Skillet,awake and alive,awake and alive
Sick,Adelitas Way,sick,sick
Up All Night,Blink-182,up all night,up all night
Cough Syrup,Young The Giant,cough syrup,cough syrup
Adolescents,Incubus,adolescents,adolescents
Howlin' For You,The Black Keys,howlin' for you,howlin for you
Riptide,Sick Puppies,riptide,riptide
Burn,Papa Roach,burn,burn
The Cave,Mumford & Sons,the cave,the cave
Far From Home,Five Finger Death Punch,far from home,far from home
Ghost Of Days Gone By,Alter Bridge,ghost of days gone by,ghost of days gone by
Sing,My Chemical Romance,sing,sing
Warrior,Disturbed,warrior,warrior
Panic,Sublime with Rome,panic,panic
Every Teardrop Is A Waterfall,Coldplay,every teardrop is a waterfall,every teardrop is a waterfall
Sail,AWOLNATION,sail,sail
Dark Horses,Switchfoot,dark horses,dark horses
My Body,Young The Giant,my body,my body
Blow Me Away,Breaking Benjamin featuring Valora,blow me away,blow me away
Changing,The Airborne Toxic Event,changing,changing
Die Trying,Art Of Dying,die trying,die trying
Monster You Made,Pop Evil,monster you made,monster you made
New Low,Middle Class Rut,new low,new low
Make It Stop (September's Children),Rise Against,make it stop (september's children),make it stop
All American Nightmare,Hinder,all american nightmare,all american nightmare
Hesitate,Stone Sour,hesitate,hesitate
Under And Over It,Five Finger Death Punch,under and over it,under and over it
Last Man Standing,Pop Evil,last man standing,last man standing
Whirring,The Joy Formidable,whirring,whirring
Closer To The Edge,Thirty Seconds To Mars,closer to the edge,closer to the edge
Lost In You,Three Days Grace,lost in you,lost in you
Sunset In July,311,sunset in july,sunset in july
Make Some Noise,Beastie Boys,make some noise,make some noise
Dog Days Are Over,Florence + The Machine,dog days are over,dog days are over
What You Want,Evanescence,what you want,what you want
This Is Gonna Hurt,Sixx: A.M.,this is gonna hurt,this is gonna hurt
Young Blood,The Naked And Famous,young blood,young blood
Helena Beat,Foster The People,helena beat,helena beat
Hear Me Now,Hollywood Undead,hear me now,hear me now
Irresistible Force,Jane's Addiction,irresistible force,irresistible force
When You're Young,3 Doors Down,when you're young,when youre young
Hold On,All That Remains,hold on,hold on
Roll Away Your Stone,Mumford & Sons,roll away your stone,roll away your stone
Machine Gun Blues,Social Distortion,machine gun blues,machine gun blues
Get Up!,Korn featuring Skrillex,get up!,get up!
Fix Me,10 Years,fix me,fix me
Fallen,Volbeat,fallen,fallen
White Trash Millionaire,Black Stone Cherry,white trash millionaire,white trash millionaire
It's Not Me It's You,Skillet,it's not me it's you,its not me its you
All I Want,A Day To Remember,all i want,all i want
Under Cover Of Darkness,The Strokes,under cover of darkness,under cover of darkness
No Matter What,Papa Roach,no matter what,no matter what
